Feeder Name,Grid,1st Cycle,2nd Cycle,3rd Cycle,4th Cycle
Masjid-E-Akber,Baldia,1005~1235,1405~1705,1905~2135,2335~0135
Masjid-E-Quba,Orangi Town,0735~1005,1205~1505,1635~1905,2105~2305
Mason Road RMU,Clifton,0735~1005,1205~1505,1635~1905,2105~2305
Maula Dad Village,Old Golimar,0705~0935,1135~1435,1635~1905,2035~2235
Mauripur Center,Mauripur,0735~1005,1205~1505,1635~1905,2105~2305
Maximus,Mauripur,0705~0935,1135~1435,1635~1905,2035~2235
Maymarabad,Surjani Town,0705~0835,1135~1305,1535~1705,1905~2035
Medicos,KEPZ,0735~0935,1105~1335,1505~1805,2035~2305
Meeruth Society,KDA,0835~1105,1235~1535,1705~1935,2205~0005
Mehmoodabad Abc,Mehmoodabad,0705~0835,1205~1335,1535~1705,2135~2305
Mehrab Khan,Elender Rd,1035~1305,1505~1805,1935~2205,0005~0205
Memon Goth Telephone Exchange,Memon Goth,0835~1105,1235~1535,1705~1935,2205~0005
Mes-105,Malir,0835~1105,1235~1535,1705~1935,2135~2335
Metal Complex,Landhi,0935~1205,1335~1635,1805~2035,2235~0035
Metroville,Site,0735~1005,1205~1505,1635~1905,2105~2305
Mfmy,Site,0705~0835,1205~1335,1535~1705,2035~2205
Mian Institute (Ex-Deh Taiser Sub Station 4),Surjani Town,0935~1205,1405~1705,1835~2105,2305~0105
Mian Wali,Valika,0705~0935,1135~1435,1635~1905,2035~2235
Michal Academy,Surjani Town,0905~1135,1335~1635,1805~2035,2205~0005
Midpoint,Old Town,0935~1205,1335~1635,1805~2035,2205~0005
Milk Plant (Ex Panama),Civic Center,0935~1205,1405~1705,1835~2105,2305~0105
Mill Rock,P R L,0735~0935,1105~1335,1505~1805,2035~2305
Millat Town RMU,Korangi East,1105~1235,1505~1635,1805~1935,0035~0205
Minister Residency,Clifton,0705~0935,1205~1505,1635~1905,2035~2235
Modern Complex,Shadman,0935~1205,1335~1635,1805~2035,2235~0035
Moinabad,Civil Aviation,0805~0935,1235~1405,1535~1705,2135~2305
Mominabad,Baldia,0705~0905,1105~1335,1505~1805,1935~2205
Monotechnical RMU,Surjani Town,0905~1135,1335~1635,1805~2035,2205~0005
Moon Light,Korangi East,1105~1235,1505~1635,1805~1935,0035~0205
Moona Arcade,Jacobline,0705~0835,1135~1305,1535~1705,1905~2035
Moosa Lane RMU,Old Town,0935~1205,1335~1635,1805~2035,2205~0005
Mujahid Colony,Gulshan,1105~1335,1505~1805,1935~2205,0005~0205
Mulla Esse Goth (Ex-Jalbani Goth),Memon Goth,0835~1105,1235~1535,1705~1935,2205~0005
Munawwar Engineering,Liaquatabad,0705~0835,1205~1335,1535~1705,2135~2305
Mundra Chowk 1,Clifton,0735~1005,1205~1505,1635~1905,2105~2305
Mundra Chowk 2,Clifton,0735~1005,1205~1505,1635~1905,2105~2305
Muree Goth,R E C P,0935~1205,1335~1635,1805~2035,2235~0035
Musharaf Colony RMU,Baldia,0935~1205,1335~1635,1805~2035,2205~0005
Muslim Town,North Karachi,0705~0835,1205~1335,1535~1705,2135~2305
Mustafabad Pumping Station,North Nazimabad,1035~1305,1505~1805,1935~2205,0005~0205
Muzzafrabad,KEPZ,0735~0935,1105~1335,1505~1805,2035~2305
Nafees Cinema,Malir,0835~1105,1235~1535,1705~1935,2135~2335
Nagori Hospital RMU,Garden East,0935~1105,1335~1505,1705~1835,2305~0035
Nagwan Village,Jail Road,0905~1135,1335~1635,1805~2035,2205~0005
Nairang Cinema,Liaquatabad,0905~1135,1335~1635,1805~2035,2205~0005
Nasir Colony,P R L,0835~1105,1235~1535,1705~1935,2135~2335
Natha Khan RMU,Airport,0805~0935,1235~1405,1535~1705,2135~2305
National Medical Centre RMU,Korangi East,0935~1205,1335~1635,1805~2035,2235~0035
National Youth Centre,North Nazimabad,1035~1305,1505~1805,1935~2205,0005~0205
Naval Low Cost,Baldia,1005~1235,1405~1705,1905~2135,2335~0135
Nawabad,Old Town,1005~1235,1435~1735,1905~2135,2305~0105
Nazar Ali Wells,Memon Goth,0835~1105,1235~1535,1705~1935,2135~2335
Nazia Square,Shadman,0905~1135,1335~1635,1805~2035,2205~0005
Nazimabad Post Office,North Nazimabad,0935~1205,1405~1705,1835~2105,2305~0105
New Karachi,Federal B,0935~1205,1335~1635,1805~2035,2235~0035
New Kumharwara,Old Town,1005~1235,1435~1735,1905~2135,2305~0105
