name,name_original,amenity,shop,tourism,@lat,@lon,final_category
Meezan Bank,میزان بینک,bank,,,24.9141559,67.1273435,Services
Rizwan,Rizwan,place_of_worship,,,24.9326513,67.078983,Religious & Community
Masjid Owais Qarni,Masjid Owais Qarni,place_of_worship,,,24.9100622,67.1094569,Religious & Community
United King Bakery,United King Bakery,,bakery,,24.9079946,67.1100721,Food & Dining
Hot N Spicy Potatoes & hot N Sweet Corn,Hot N Spicy Potatoes & hot N Sweet Corn,restaurant,,,24.8842184,67.0571409,Food & Dining
Pakistan Pakwan House,Pakistan Pakwan House,restaurant,,,24.9330613,67.0524883,Food & Dining
Blue Mount CNG,Blue Mount CNG,fuel,,,24.9382687,67.1494914,Transport & Vehicles
Total,ٹوٹل,fuel,,,24.9377221,67.1461603,Transport & Vehicles
Roshni Sweets/Bakers,Roshni Sweets/Bakers,,bakery,,24.9382223,67.1491081,Food & Dining
Food Finder,Food Finder,fast_food,,,24.9381347,67.1485966,Food & Dining
Dr Essa Clinical Laboratory,Dr Essa Clinical Laboratory,hospital,,,24.9381578,67.1487787,Healthcare
Bank Alfalah,بینک الفلاح,atm,,,24.9377289,67.1499709,Services
Bank Dubai Islamic,Bank Dubai Islamic,atm,,,24.9376442,67.1494054,Services
JS Bank,جے ایس بینک,atm,,,24.9373337,67.1469936,Services
Ufone Franchise,Ufone Franchise,,mobile_phone,,24.9373666,67.1473477,Shopping & Retail
Al Sheikh Hotel,Al Sheikh Hotel,restaurant,,,24.9380427,67.1481362,Food & Dining
Al Rehman Hospital,Al Rehman Hospital,hospital,,,24.9388891,67.1493164,Healthcare
Jamia Hamdia Rizvia,Jamia Hamdia Rizvia,place_of_worship,,,24.9495128,67.1317088,Religious & Community
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9339483,67.1289529,Transport & Vehicles
HBL Pakistan,ایچ بی ایل پاکستان,atm,,,24.9341557,67.1289546,Services
Zam Zam Super Store,Zam Zam Super Store,,supermarket,,24.9349934,67.1352614,Shopping & Retail
Habib Metropolitan Bank,Habib Metropolitan Bank,atm,,,24.934919,67.1349459,Services
Soneri Bank Ltd,Soneri Bank Ltd,atm,,,24.9361849,67.1385442,Services
Police Station (Gulistan e Jauhar),Police Station (Gulistan e Jauhar),police,,,24.923289,67.1474984,Services
Samama Shoping Mall,Samama Shoping Mall,,mall,,24.9281526,67.1117903,Shopping & Retail
City Vision,City Vision,,mall,,24.9291014,67.1140165,Shopping & Retail
Khaas Meat - Mosamiat,Khaas Meat - Mosamiat,,butcher,,24.9360112,67.1376597,Food & Dining
boys hostel NED,boys hostel NED,,,hotel,24.9315402,67.1131181,Accommodation
Continental Bakery,Continental Bakery,,bakery,,24.9206491,67.0865218,Food & Dining
Mochi Mor,Mochi Mor,,,viewpoint,24.9205207,67.0865314,Tourism & Landmarks
Hussaini Govt Boys Secondary school,Hussaini Govt Boys Secondary school,school,,,24.9121579,67.0292216,Education
pemra,pemra,,,artwork,24.8274375,67.0272134,Tourism & Landmarks
